Gene	Exonic	Mature	Premature
SPBC530.04	1371	41	13
SPBC530.09c	1998	143	8
SPBC56F2.01	1808	103	30
SPBC56F2.10c	1765	77	39
SPBC56F2.11	8184	204	225
SPBC56F2.14	744	191	57
SPBC577.03c	13219	9677	73
SPBC577.04	1166	151	7
SPBC577.08c	3787	264	13
SPBC577.12	2872	100	4
SPBC577.14c	2530	0	177
SPBC582.03	6466	128	12
SPBC582.10c	1356	40	3
SPBC609.01	151	1	5
SPBC609.05	4735	175	4
SPBC646.09c	15701	724	2
SPBC646.12c	12013	1866	0
SPBC646.13	6405	275	165
SPBC649.02	18714	3748	140
SPBC649.05	1148	29	6
SPBC651.05c	974	47	23
SPBC651.08c	2393	21	1
SPBC660.08	2280	100	12
SPBC660.10	1004	12	1
SPBC660.13c	5433	316	18
SPBC660.14	1257	39	5
SPBC660.17c	1245	135	6
SPBC685.05	270	43	16
SPBC685.06	26626	2663	8
SPBC685.07c	21177	4863	24
SPBC685.08	493	49	17
SPBC691.05c	1494	42	12
SPBC6B1.06c	2657	61	3
SPBC6B1.12c	819	207	13
SPBC713.03	6339	95	1
SPBC713.09	2445	161	9
SPBC713.10	2230	192	17
SPBC713.11c	11028	1560	57
SPBC725.04	1438	33	5
SPBC725.09c	9656	975	32
SPBC725.16	2929	89	21
SPBC725.17c	1015	141	12
SPBC776.01	21104	9941	50
SPBC776.02c	10443	502	50
SPBC776.03	9872	759	10
SPBC776.06c	1171	25	18
SPBC776.07	4334	448	32
SPBC776.08c	2809	62	2
SPBC776.16	1109	0	3
SPBC776.17	2769	247	28
SPBC800.02	137	0	2
SPBC800.04c	27092	7454	74
SPBC800.08	3888	176	31
SPBC83.02c	20921	6033	48
SPBC83.04	272	22	6
SPBC83.07	2200	57	5
SPBC83.08	8156	473	19
SPBC83.09c	982	57	3
SPBC83.11	1537	38	0
SPBC83.18c	2083	200	5
SPBC839.03c	1855	0	3
SPBC839.05c	38760	6007	129
SPBC839.08c	4201	90	6
SPBC839.09c	1799	259	21
SPBC839.13c	14361	3020	13
SPBC839.14c	604	48	25
SPBC839.19	295	36	286
SPBC887.03c	4383	194	2
SPBC887.05c	1803	108	24
SPBC887.08	951	157	8
SPBC887.11	1781	39	140
SPBC887.14c	3394	97	3
SPBC8D2.05c	1516	24	1
SPBC8D2.09c	367	31	2
SPBC8D2.14c	4167	449	18
SPBC8D2.16c	3819	227	15
SPBC8D2.17	6086	235	10
SPBC902.06	1774	35	81
SPBC947.03c	5608	143	100
SPBC947.10	2042	83	13
SPBC947.14c	1699	302	82
SPBC9B6.04c	5917	245	0
SPBC9B6.11c	7577	324	16
SPBCPT2R1.01c	1	0	0
SPBCPT2R1.04c	32	0	0
SPBCPT2R1.06c	2	0	0
SPBP18G5.03	2402	63	1
SPBP19A11.03c	8723	127	2
SPBP22H7.04	1572	6	119
SPBP22H7.08	14263	5964	70
SPBP23A10.02	30	0	0
SPBP23A10.03c	462	0	0
SPBP23A10.10	2354	26	31
SPBP23A10.17	3086	183	16
SPBP35G2.02	2151	2	0
SPBP35G2.03c	0	0	0
SPBP35G2.11c	1629	36	16
SPBP4H10.15	18316	108	41
SPBP4H10.19c	847	39	21
SPBP8B7.04	575	30	9
SPBP8B7.06	20040	1850	32
SPBP8B7.12c	5210	38	126
SPBP8B7.13	1449	108	1
SPBP8B7.15c	1072	2	2
SPBP8B7.21	5040	176	2
SPBP8B7.25	19280	2340	25
SPBP8B7.26	1472	133	2
SPBP8B7.27	1807	3	52
SPBP8B7.32	3570	69	115
SPBPB21E7.02c	9	0	2
SPBPB21E7.10	0	0	0
SPBPB2B2.07c	2	0	0
SPBPB2B2.14c	2	0	0
SPBPJ4664.01	1610	98	9
SPBPJ4664.03	243	0	59
SPBPJ4664.05	2157	168	12
SPBTRNAARG.05	1	0	2
SPBTRNALEU.05	0	0	1
SPBTRNALEU.06	0	0	0
SPBTRNALEU.07	0	0	0
SPBTRNALYS.07	0	0	0
SPBTRNALYS.08	0	0	0
SPBTRNALYS.09	1	0	1
SPBTRNAMET.05	3	0	15
SPBTRNASER.06	0	0	0
SPBTRNATYR.02	0	0	0
SPBTRNATYR.03	0	0	0
SPBTRNATYR.04	0	0	0
SPBTRNAVAL.05	0	0	0
SPBTRNAVAL.07	0	0	0
SPBTRNAVAL.08	0	0	0
SPCC1020.04c	7189	966	36
SPCC1020.06c	11675	516	6
SPCC1020.12c	828	63	21
SPCC1183.02	6209	732	103
SPCC1183.04c	2118	112	8
SPCC1183.12	61	1	1
SPCC1223.04c	781	33	11
SPCC1223.05c	10408	2131	33
SPCC1223.07c	10352	517	7
SPCC1223.08c	4126	186	7
SPCC1223.12c	374	6	51
SPCC1235.03	1777	95	8
SPCC1235.06	2109	170	7
SPCC1259.01c	44686	13099	53
SPCC1259.03	2133	362	51
SPCC1259.04	1698	259	12
SPCC1259.05c	2457	750	19
SPCC1259.06	0	0	0
SPCC1259.07	752	38	4
SPCC1259.16	270	0	0
SPCC126.04c	1863	210	7
SPCC126.09	2433	113	119
SPCC126.13c	564	0	9
SPCC126.14	509	51	6
SPCC126.15c	0	0	0
SPCC132.01c	2779	41	0
SPCC1322.08	1078	0	5
SPCC1322.11	19764	4066	340
SPCC1393.04	1315	47	26
SPCC1393.07c	400	13	1
SPCC1393.13	374	22	2
SPCC13B11.04c	855	3	67
SPCC1442.02	1051	58	16
SPCC1442.03	2010	78	11
SPCC1442.04c	5374	0	34
SPCC1442.09	7385	250	16
SPCC1442.19	1090	113	15
SPCC1450.04	55583	5742	75
SPCC1450.07c	1158	13	114
SPCC1450.09c	959	3	49
SPCC1450.10c	1832	112	2
SPCC1450.15	4182	227	86
SPCC1450.16c	2830	77	87
SPCC1494.01	1345	65	4
SPCC1494.04c	2732	179	21
SPCC1494.09c	412	27	7
SPCC1494.11c	2	0	22
SPCC14G10.01	1304	76	4
SPCC14G10.02	1472	26	0
SPCC14G10.03c	3299	452	7
SPCC162.07	8419	592	45
SPCC162.11c	1757	14	4
SPCC162.12	1705	67	25
SPCC1620.10	1638	72	1
SPCC1620.11	3524	72	2
SPCC1672.07	3487	69	3
SPCC1682.04	7109	565	78
SPCC1682.06	678	29	2
SPCC1682.07	2836	132	6
SPCC1682.10	8160	516	5
SPCC1682.16	8519	460	99
SPCC16A11.02	3428	74	3
SPCC16A11.03c	1678	52	72
SPCC16A11.12c	2258	36	3
SPCC16C4.03	1985	218	21
SPCC16C4.10	5897	214	28
SPCC16C4.11	702	70	19
SPCC16C4.12	2508	212	80
SPCC16C4.15	2880	134	5
SPCC16C4.18c	5477	223	29
SPCC16C4.22	598	91	57
SPCC1739.01	5144	79	0
SPCC1739.14	2536	61	0
SPCC1753.01c	5211	270	24
SPCC1795.03	3929	186	29
SPCC1795.05c	4220	335	126
SPCC1795.07	3326	235	21
SPCC18.04	1108	23	14
SPCC18.09c	3343	82	60
SPCC18.11c	3399	291	196
SPCC18.13	2692	134	11
SPCC18.14c	67141	4486	123
SPCC18.18c	5780	241	59
SPCC1827.03c	14450	48	19
SPCC1827.04	3003	44	9
SPCC1827.06c	25717	1909	35
SPCC1840.12	683	4	45
SPCC188.06c	5819	241	39
SPCC188.12	565	4	6
SPCC1906.01	22987	836	54
SPCC191.06	856	8	2
SPCC1919.08c	902	212	28
SPCC1919.13c	1790	150	40
SPCC23B6.02c	1503	267	29
SPCC24B10.03	533	65	20
SPCC24B10.05	3103	665	8
SPCC24B10.07	1697	39	3
SPCC24B10.09	42587	94	1975
SPCC24B10.15	955	14	5
SPCC24B10.19c	1905	44	15
SPCC285.11	1810	104	7
SPCC285.12	1838	393	17
SPCC285.15c	12516	11255	32
SPCC285.16c	2128	33	12
SPCC290.02	2333	183	63
SPCC290.03c	2603	67	6
SPCC290.04	2171	31	16
SPCC297.04c	1203	109	311
SPCC2H8.04	967	95	53
SPCC306.02c	6256	605	5
SPCC306.06c	3761	239	1
SPCC306.08c	6151	228	78
SPCC306.09c	4540	125	1
SPCC31H12.04c	7207	3194	30
SPCC320.06	2067	52	5
SPCC320.12	1476	115	4
SPCC330.02	1448	25	49
SPCC330.10	617	5	0
SPCC330.19c	209	16	16
SPCC338.04	968	112	12
SPCC338.07c	5955	297	6
SPCC338.08	1697	90	12
SPCC338.17c	2245	31	1
SPCC364.01	1536	77	15
SPCC417.03	50	0	49
SPCC4B3.01	2163	166	6
SPCC4B3.09c	5563	420	2
SPCC4B3.10c	1704	21	6
SPCC4B3.20	513	125	21
SPCC4F11.05	101	0	39
SPCC4G3.04c	4461	370	23
SPCC4G3.05c	794	26	40
SPCC548.05c	2286	525	14
SPCC550.01c	561	230	10
SPCC550.05	33365	164	4
SPCC550.11	6298	52	109
SPCC553.03	1874	30	18
SPCC553.04	1850	106	20
SPCC569.03	1199	39	128
SPCC569.09	511	44	16
SPCC576.02	1142	2	26
SPCC576.12c	4235	119	5
SPCC576.15c	1315	48	8
SPCC576.17c	641	12	25
SPCC584.04	11780	288	10
SPCC584.11c	2676	98	16
SPCC594.06c	704	38	3
SPCC594.07c	3502	165	7
SPCC5E4.06	2361	48	2
SPCC61.01c	54213	111	12
SPCC613.05c	39893	11116	165
SPCC622.10c	6073	43	9
SPCC622.11	816	41	16
SPCC622.19	0	0	0
SPCC63.08c	1140	20	0
SPCC63.10c	1368	35	3
SPCC645.02	504	52	12
SPCC645.03c	3550	354	17
SPCC645.07	2495	25	5
SPCC645.10	2554	80	29
SPCC645.13	2661	57	6
SPCC663.01c	6587	173	6
SPCC663.03	3023	13	15
SPCC663.04	25705	7697	4418
SPCC663.11	1435	9	2
SPCC663.14c	844	0	67
SPCC663.15c	3020	67	28
SPCC70.08c	2167	119	51
SPCC70.09c	220	30	2
SPCC736.07c	2056	29	17
SPCC736.08	4146	122	17
SPCC736.11	1521	14	213
SPCC736.14	2933	60	7
SPCC737.09c	2753	77	0
SPCC74.05	32565	6563	24
SPCC757.10	957	72	5
SPCC777.05	1398	92	11
SPCC777.06c	3705	236	39
SPCC777.09c	14102	868	28
SPCC777.12c	4390	429	36
SPCC777.14	1940	104	19
SPCC794.01c	288	3	32
SPCC794.08	2996	49	3
SPCC830.03	1604	46	0
SPCC830.05c	1956	68	28
SPCC830.09c	1527	118	162
SPCC830.11c	1900	196	6
SPCC962.01	3112	16	4
SPCC962.02c	1004	9	0
SPCC962.04	25078	3086	34
SPCC962.05	1123	48	18
SPCC962.06c	2942	140	0
SPCC965.04c	4380	105	17
SPCC965.12	1222	8	29
SPCC970.05	28041	9563	78
SPCC970.10c	4635	232	4
SPCP1E11.04c	4750	109	8
SPCP1E11.09c	10296	3490	34
SPCP20C8.03	446	0	38
SPCP31B10.08c	18333	4549	28
SPCPB16A4.06c	185	5	19
SPCPB16A4.07	523	0	1
SPCPB1C11.03	2186	0	1
SPCTRNALEU.12	0	0	0
SPCTRNALEU.13	0	0	0
SPCTRNALYS.11	0	0	0
SPCTRNALYS.12	0	0	1
SPCTRNASER.10	2	0	0
SPCTRNASER.13	0	0	0
SPCTRNAVAL.09	0	0	0
SPCTRNAVAL.10	0	0	0
SPCTRNAVAL.12	0	0	0
SPMIT.05	3	0	78
SPNCRNA.05	0	0	0
SPNCRNA.445	1037	896	739
SPNCRNA.56	661	49	2
SPNCRNA.57	0	0	0
SPSNRNA.06	0	4	2
