Gene	Exonic	Mature	Premature
SPAC22E12.06c	1885	1	2
SPAC22E12.08	1539	120	26
SPAC22E12.10c	5938	55	395
SPAC22E12.18	2506	214	4
SPAC22F3.09c	1018	27	6
SPAC22F3.10c	6581	206	7
SPAC22F3.15	513	336	37
SPAC22F8.09	5595	305	10
SPAC22G7.05	5545	278	37
SPAC22G7.08	920	132	2
SPAC22H10.05c	4720	262	8
SPAC22H10.07	1216	25	1
SPAC22H10.08	2272	133	0
SPAC22H10.12c	5671	176	22
SPAC23A1.03	9248	1941	178
SPAC23A1.04c	1404	18	18
SPAC23A1.11	29486	5445	5
SPAC23A1.12c	5282	244	3
SPAC23A1.19c	1850	39	32
SPAC23A1.20	726	0	71
SPAC23C11.13c	7004	668	89
SPAC23C11.17	4975	268	5
SPAC23C4.04c	324	150	12
SPAC23C4.05c	2031	115	3
SPAC23D3.02	2676	158	13
SPAC23D3.06c	2674	45	1
SPAC23D3.08	0	0	0
SPAC23D3.09	11	0	0
SPAC23G3.01	6574	74	2
SPAC23G3.02c	1967	5	6
SPAC23G3.03	1114	19	6
SPAC23G3.07c	977	44	15
SPAC23H3.06	4010	410	1
SPAC23H3.08c	789	83	14
SPAC23H3.13c	1177	30	81
SPAC23H4.02	847	35	47
SPAC23H4.03c	5520	529	26
SPAC23H4.07c	2401	247	5
SPAC23H4.11c	883	83	47
SPAC23H4.12	2668	3	9
SPAC23H4.13c	339	111	18
SPAC23H4.17c	610	42	1
SPAC23H4.21	47	0	0
SPAC24B11.12c	2492	18	0
SPAC24C9.02c	2923	321	144
SPAC24C9.06c	18286	510	114
SPAC24C9.08	4716	97	2
SPAC24C9.13c	855	160	11
SPAC24H6.02c	856	130	17
SPAC24H6.05	1225	12	2
SPAC24H6.06	1528	47	3
SPAC24H6.07	38849	2913	31
SPAC24H6.09	2558	57	7
SPAC25B8.06c	2602	60	2
SPAC25B8.11	3449	105	4
SPAC25B8.20	1378	55	236
SPAC25G10.03	8030	245	2
SPAC25G10.05c	13584	895	28
SPAC25G10.06	13898	8254	130
SPAC25H1.03	447	34	15
SPAC26A3.08	3846	500	5
SPAC26A3.11	2596	207	19
SPAC26A3.15c	7671	75	5
SPAC26F1.08c	1240	20	4
SPAC26H5.09c	5824	233	22
SPAC26H5.11	2478	69	13
SPAC26H5.13c	3049	101	10
SPAC27E2.03c	13371	451	125
SPAC27E2.05	1592	108	7
SPAC27E2.12	27	0	19
SPAC27E2.14	399	23	106
SPAC27F1.02c	13424	1120	15
SPAC29A4.02c	41309	2467	187
SPAC29A4.03c	3849	0	368
SPAC29A4.06c	1331	69	7
SPAC29A4.17c	501	27	8
SPAC29A4.20	2601	120	7
SPAC29B12.08	3719	44	80
SPAC29E6.04	0	0	0
SPAC29E6.05c	1379	91	151
SPAC2C4.05	9447	1057	18
SPAC2C4.11c	4684	577	9
SPAC2E12.02	4251	107	9
SPAC2F3.04c	2445	347	12
SPAC2F3.06c	5000	104	0
SPAC2F3.11	4964	311	241
SPAC2F7.15	2784	324	35
SPAC2G11.02	2490	67	5
SPAC2G11.08c	536	96	5
SPAC2G11.09	1583	48	20
SPAC2H10.02c	1135	137	51
SPAC30.02c	2478	164	24
SPAC30D11.02c	32	1	5
SPAC30D11.04c	3437	78	0
SPAC30D11.08c	2524	84	7
SPAC31A2.03	3608	357	4
SPAC31A2.07c	4105	107	16
SPAC31A2.13c	708	121	5
SPAC31A2.14	2463	42	1
SPAC31G5.01	2825	158	1
SPAC31G5.05c	8303	682	43
SPAC31G5.06	146	7	11
SPAC31G5.16c	5977	611	23
SPAC31G5.17c	22285	4160	86
SPAC31G5.19	1720	13	5
SPAC323.01c	1417	56	28
SPAC323.07c	3326	145	3
SPAC328.01c	2655	20	0
SPAC328.06	2851	83	8
SPAC328.07c	1852	89	0
SPAC328.09	2324	113	108
SPAC328.10c	33455	4835	341
SPAC32A11.04c	22714	1936	10
SPAC343.01c	46	0	0
SPAC343.17c	12817	25	3
SPAC343.18	1144	98	9
SPAC3A11.02	2731	79	14
SPAC3A11.09	2265	42	5
SPAC3A11.12c	4884	164	7
SPAC3A12.13c	7196	420	13
SPAC3A12.14	8522	774	30
SPAC3A12.16c	5145	542	19
SPAC3A12.18	7893	282	12
SPAC3A12.19	420	47	19
SPAC3C7.03c	462	14	24
SPAC3C7.11c	15524	0	5
SPAC3F10.04	5202	8	110
SPAC3F10.06c	302	32	35
SPAC3F10.10c	2860	374	3
SPAC3F10.16c	6633	150	5
SPAC3F10.17	3915	167	8
SPAC3F10.18c	3579	9058	69
SPAC3G6.13c	13603	15302	81
SPAC3G9.03	30657	8880	62
SPAC3G9.04	698	117	19
SPAC3G9.16c	678	78	13
SPAC3H1.01c	2387	84	2
SPAC3H1.04c	2756	86	100
SPAC3H1.05	6970	372	9
SPAC3H1.08c	1108	136	14
SPAC3H5.06c	1404	23	2
SPAC3H5.07	28675	4637	97
SPAC3H8.03	1493	285	33
SPAC4A8.02c	1540	59	7
SPAC4A8.09c	2267	119	82
SPAC4A8.12c	2094	112	80
SPAC4A8.14	4999	231	15
SPAC4D7.01c	1612	12	0
SPAC4D7.02c	1020	53	31
SPAC4D7.06c	3105	167	315
SPAC4D7.08c	14118	438	130
SPAC4D7.12c	2813	267	6
SPAC4D7.14	971	125	152
SPAC4F10.02	2510	94	53
SPAC4F10.03c	2077	132	27
SPAC4F10.04	1576	97	17
SPAC4F10.13c	4687	51	6
SPAC4F10.14c	37716	9297	234
SPAC4F10.16c	2099	24	16
SPAC4F10.19c	878	84	13
SPAC4F8.03	4632	344	28
SPAC4G8.04	1583	39	2
SPAC4G9.04c	11695	69	3
SPAC4G9.12	3	0	0
SPAC4G9.13c	1330	104	20
SPAC4G9.17c	2364	171	10
SPAC4G9.20c	2045	161	36
SPAC4H3.02c	1160	69	1
SPAC4H3.13	869	189	43
SPAC4H3.14c	2414	120	19
SPAC513.03	54	28	0
SPAC56E4.04c	12690	63	4
SPAC56E4.05	2568	254	6
SPAC56F8.04c	1356	0	96
SPAC56F8.06c	555	13	3
SPAC56F8.08	4536	351	10
SPAC57A10.04	337	5	14
SPAC57A10.06	67	2	3
SPAC57A10.10c	13484	1248	10
SPAC57A10.11c	3549	321	1
SPAC57A7.06	7274	172	2
SPAC57A7.12	15801	434	10
SPAC57A7.15c	448	88	8
SPAC589.03c	1068	93	98
SPAC589.04	1387	168	11
SPAC589.06c	15093	1914	46
SPAC589.11	157	17	44
SPAC589.12	4179	45	37
SPAC5D6.01	19858	2768	2333
SPAC5D6.06c	1107	122	8
SPAC5D6.08c	612	38	1
SPAC607.03c	17108	7520	37
SPAC607.05	7267	439	29
SPAC631.02	3903	92	62
SPAC644.04	4912	138	7
SPAC644.08	1995	199	37
SPAC644.10	1385	0	163
SPAC644.15	12151	5951	69
SPAC644.16	4146	235	9
SPAC652.01	3058	115	44
SPAC664.03	4535	152	19
SPAC664.04c	27064	4208	55
SPAC664.06	11171	827	62
SPAC664.10	1768	40	2
SPAC664.12c	1652	116	11
SPAC688.03c	486	43	15
SPAC688.06c	858	23	20
SPAC688.09	1891	99	10
SPAC688.16	1147	362	6
SPAC694.03	770	55	47
SPAC694.04c	223	0	44
SPAC6B12.08	2368	22	52
SPAC6B12.10c	1420	70	13
SPAC6B12.13	2931	184	242
SPAC6B12.16	134	0	16
SPAC6C3.03c	242	1	0
SPAC6C3.04	10285	0	26
SPAC6C3.08	969	106	6
SPAC6F12.09	1998	14	8
SPAC6F12.11c	1583	70	4
SPAC6F12.16c	6477	3	3
SPAC6F12.17	4271	120	4
SPAC6F6.03c	10325	470	205
SPAC6F6.05	5081	855	16
SPAC6F6.09	1111	98	11
SPAC6F6.10c	4159	323	10
SPAC6F6.19	547	73	105
SPAC6G10.07	4487	106	1
SPAC6G10.09	6366	230	16
SPAC6G9.05	1161	65	4
SPAC6G9.11	9395	1105	6
SPAC6G9.13c	267	7	73
SPAC6G9.14	4084	99	5
SPAC750.06c	16	0	0
SPAC767.01c	5158	154	6
SPAC7D4.09c	1399	5	10
SPAC7D4.13c	1451	115	6
SPAC806.02c	3621	63	5
SPAC806.05	3726	19	0
SPAC806.08c	962	23	9
SPAC823.02	24	0	0
SPAC823.03	2266	73	6
SPAC823.05c	2294	135	15
SPAC823.10c	1082	70	5
SPAC823.15	2159	86	61
SPAC823.17	2110	2	0
SPAC824.07	3398	176	162
SPAC890.04c	7110	283	84
SPAC890.08	47895	17611	76
SPAC8C9.03	84	0	2
SPAC8C9.08	48653	8762	115
SPAC8E11.02c	21504	2133	142
SPAC8E11.03c	651	0	65
SPAC8F11.03	2329	51	12
SPAC8F11.05c	360	16	63
SPAC8F11.09c	2281	152	57
SPAC8F11.10c	5935	259	6
SPAC9.02c	3892	524	30
SPAC9.11	504	25	3
SPAC9.12c	210	0	0
SPAC922.03	1944	8	117
SPAC926.02	1859	20	3
SPAC926.05c	1077	163	26
SPAC959.05c	634	16	1
SPAC977.06	1	0	0
SPAC977.09c	0	0	0
SPAC977.10	3389	239	26
SPAC977.16c	1313	0	32
SPAC9E9.01	53	0	0
SPAC9E9.04	2809	221	16
SPAC9E9.06c	4335	128	19
SPAC9E9.13	29138	2199	96
SPAC9G1.03c	44329	9627	86
SPAC9G1.06c	5815	876	10
SPAC9G1.09	512	19	11
SPAC9G1.10c	0	0	0
SPAC9G1.11c	3011	0	0
SPACUNK4.06c	3345	311	14
SPACUNK4.11c	1096	92	5
SPACUNK4.15	852	55	0
SPAP14E8.02	7086	214	48
SPAP27G11.03	1513	120	8
SPAP27G11.04c	2018	114	6
SPAP27G11.07c	1331	99	21
SPAP27G11.08c	200	0	31
SPAP27G11.10c	3316	21	1
SPAP27G11.11c	4	0	7
SPAP27G11.13c	3676	2384	25
SPAP27G11.15	37	0	0
SPAP32A8.03c	2925	120	28
SPAP4C9.02	1494	197	12
SPAP7G5.03	10474	10	2
SPAP8A3.07c	24255	1070	33
SPAP8A3.10	1915	308	30
SPAP8A3.11c	1169	55	4
SPAPB17E12.05	24903	4471	49
SPAPB17E12.07c	1387	185	17
SPAPB17E12.09	359	0	76
SPAPB17E12.13	27247	426	397
SPAPB18E9.02c	2515	51	5
SPAPB1A10.03	327	316	1
SPAPB1A10.04c	2170	151	160
SPAPB1A10.06c	2491	30	3
SPAPB1A10.07c	1293	32	12
SPAPB1A10.08	1094	22	12
SPAPB1A10.09	1824	36	4
SPAPB1A10.12c	2277	72	54
SPAPB1A10.16	1803	275	2
SPAPB1A11.02	8	0	3
SPAPB1E7.03	3464	151	29
SPAPB1E7.11c	3946	49	7
SPAPB21F2.03	1746	109	59
SPAPB24D3.05c	257	0	72
SPAPB2B4.02	4139	421	60
SPAPB8E5.02c	2048	2	0
SPAPB8E5.09	6748	356	3
SPAPJ760.02c	1666	59	1
SPATRNALYS.04	0	0	0
SPATRNASER.03	1	0	1
SPBC106.04	2966	74	10
SPBC106.18	22662	4759	147
SPBC1105.08	2044	52	18
SPBC1105.10	1965	11	6
SPBC1105.14	912	0	6
SPBC1105.15c	1156	2	15
SPBC115.01c	2175	166	30
SPBC115.03	2005	24	3
SPBC119.10	30292	421	9
SPBC119.17	4730	115	2
SPBC119.18	1858	306	143
SPBC1198.07c	869	23	3
SPBC1198.08	13433	563	23
SPBC1198.09	3168	140	31
SPBC1198.12	460	0	60
SPBC11B10.06	1107	43	78
SPBC11C11.07	55792	3305	64
SPBC11C11.10	4579	185	80
SPBC11G11.01	3051	157	88
SPBC11G11.03	11866	808	47
SPBC11G11.07	2372	42	2
SPBC1215.01	4311	846	5
SPBC1271.02	7558	211	8
SPBC1271.03c	1271	92	38
SPBC1271.09	431	0	19
SPBC1271.13	2846	209	27
SPBC1289.04c	3174	67	9
SPBC1289.06c	4686	202	13
SPBC1289.12	2057	99	3
SPBC12C2.08	1873	37	0
SPBC12C2.10c	1882	20	0
SPBC12D12.05c	3573	141	4
SPBC12D12.07c	3274	358	5
SPBC1347.03	665	6	36
SPBC1347.08c	3326	427	3
SPBC1348.01	2	1	0
SPBC1348.07	5	0	0
SPBC1348.10c	0	0	0
SPBC13E7.01	3012	0	130
SPBC13E7.05	1224	45	8
SPBC13E7.08c	9242	221	40
SPBC13G1.01c	2822	237	4
SPBC13G1.03c	1587	126	12
SPBC13G1.04c	2381	142	22
SPBC13G1.06c	3088	510	16
SPBC13G1.09	5029	206	16
SPBC13G1.11	3162	426	4
SPBC13G1.13	2409	115	1
SPBC146.05c	2211	91	10
SPBC146.08c	2377	187	7
SPBC146.13c	8030	88	2
SPBC14C8.06	8121	544	15
SPBC14C8.09c	0	0	0
SPBC14C8.10	5414	733	0
SPBC14C8.14c	4415	100	1
SPBC14C8.17c	1925	63	16
SPBC14F5.06	11488	395	46
SPBC14F5.08	13196	97	9
SPBC14F5.11c	2122	87	11
SPBC14F5.13c	3200	93	38
SPBC1539.04	4067	286	13
SPBC1539.06	7437	2940	56
SPBC1539.10	3782	477	21
SPBC15C4.03	2422	125	5
SPBC15D4.06	757	89	49
SPBC15D4.10c	2733	122	57
SPBC15D4.12c	299	11	63
SPBC15D4.14	2616	100	16
SPBC1604.07	7903	501	3
SPBC1604.09c	1887	159	13
SPBC1604.11	4886	1187	9
SPBC1604.25	1378	163	18
SPBC1677.02	2351	671	28
SPBC1683.02	754	19	36
SPBC1685.02c	30479	5464	32
SPBC1685.06	230	2	8
SPBC1685.15c	2074	67	4
SPBC16A3.15c	12482	566	4
SPBC16C6.01c	1507	25	250
SPBC16C6.05	2865	472	16
SPBC16C6.06	2232	19	1
SPBC16C6.10	1025	48	38
SPBC16C6.13c	7324	133	4
SPBC16D10.03	3727	267	20
SPBC16D10.05	1749	6	5
SPBC16D10.09	7456	663	13
SPBC16D10.11c	20157	4196	17
SPBC16E9.11c	2216	27	25
SPBC16E9.17c	46	0	6
SPBC16G5.01	5990	528	11
SPBC16G5.04	2356	323	9
SPBC16G5.10	5678	271	6
SPBC16G5.14c	45135	6307	108
SPBC16G5.15c	1687	57	2
SPBC16H5.07c	14965	228	24
SPBC16H5.08c	15602	521	7
SPBC1703.01c	2488	200	18
SPBC1703.02	2632	50	4
SPBC1703.03c	4810	158	7
SPBC1703.05	4414	337	15
SPBC1703.06	3201	90	2
SPBC1703.09	923	74	13
SPBC1709.01	1077	17	1
SPBC1709.10c	2009	293	153
SPBC1709.15c	2105	60	13
SPBC1711.08	6022	343	102
SPBC1711.09c	1915	120	18
SPBC1711.14	0	0	0
SPBC1711.15c	156	130	111
SPBC1718.04	3077	68	10
SPBC1734.05c	1419	109	23
SPBC1734.07c	3791	25	208
SPBC1734.10c	2951	173	133
SPBC1734.13	8105	524	7
SPBC1734.16c	3348	127	1
SPBC1773.16c	1131	11	19
SPBC1778.03c	1955	59	30
SPBC1778.05c	2898	100	9
SPBC1778.07	2675	183	29
SPBC17A3.07	10108	556	18
SPBC17A3.10	1488	85	5
SPBC17D11.02c	2216	48	3
SPBC17D11.05	24310	433	3
SPBC17D11.07c	9083	158	5
SPBC17G9.07	48848	11756	33
SPBC1861.03	2495	72	4
SPBC1861.08c	3175	31	390
SPBC18E5.03c	1713	73	24
SPBC18E5.05c	1611	106	16
SPBC18E5.06	39909	23482	118
SPBC18E5.10	0	0	0
SPBC18E5.11c	19	0	0
SPBC18E5.15	141	0	27
SPBC18H10.02	11449	319	20
SPBC18H10.03	16757	1225	4
SPBC18H10.07	2032	203	19
SPBC18H10.12c	51621	5030	185
SPBC18H10.14	26623	4012	76
SPBC18H10.15	1376	70	8
SPBC18H10.18c	564	30	1
SPBC1921.01c	14401	2750	117
SPBC1921.02	2028	139	9
SPBC1921.07c	2516	257	32
SPBC19C2.02	962	63	30
SPBC19C2.03	2528	934	96
SPBC19C2.08	902	87	40
SPBC19C2.10	1886	44	39
SPBC19C7.01	1378	119	30
SPBC19F5.01c	404	2	16
SPBC19F5.04	13477	603	283
SPBC19F8.03c	2845	93	0
SPBC19G7.07c	3980	159	14
SPBC19G7.15	5255	367	2
SPBC1A4.03c	4496	51	0
SPBC1A4.07c	3159	185	3
SPBC1E8.02	2030	0	76
SPBC1E8.04	51	0	0
SPBC21.04	3907	99	16
SPBC21.07c	576	24	6
SPBC211.01	405	82	11
SPBC211.02c	378	0	0
SPBC211.08c	2891	235	3
SPBC215.04	347	40	7
SPBC215.06c	1814	134	9
SPBC215.09c	10027	500	6
SPBC215.15	5160	554	4
SPBC216.01c	2322	43	7
SPBC216.06c	2941	30	1
SPBC21B10.08c	10830	1466	37
SPBC21B10.11	500	73	3
SPBC21B10.12	662	39	88
SPBC21B10.14	800	216	24
SPBC21B10.15	700	125	10
SPBC21C3.03	1850	41	7
SPBC21C3.09c	1653	92	20
SPBC21C3.10c	1500	0	1
SPBC21C3.13	22305	8578	72
SPBC21C3.17c	2534	268	0
SPBC21D10.07	2	0	0
SPBC21D10.08c	22	0	0
SPBC21D10.09c	2928	40	3
SPBC21D10.12	7764	457	11
SPBC21H7.06c	484	65	0
SPBC23E6.03c	2293	28	8
SPBC23E6.08	2618	52	25
SPBC23G7.05	14970	3111	42
SPBC23G7.06c	1643	0	37
SPBC23G7.12c	4659	477	1
SPBC23G7.15c	34619	2492	20
SPBC244.01c	4876	50	8
SPBC24C6.02	2877	88	5
SPBC24C6.04	22658	941	4
SPBC24C6.05	4503	516	8
SPBC24C6.13	468	105	6
SPBC25B2.03	3148	100	25
SPBC25B2.04c	979	58	37
SPBC25B2.06c	3632	273	27
SPBC25B2.07c	1756	0	82
SPBC25D12.02c	1616	19	5
SPBC25H2.02	13007	313	73
SPBC26H8.08c	11582	417	10
SPBC26H8.10	3848	97	2
SPBC26H8.13c	1175	112	5
SPBC26H8.16	1163	286	7
SPBC27.06c	2898	526	22
SPBC28F2.04c	2947	300	51
SPBC28F2.11	9020	417	28
SPBC29A10.04	2052	32	4
SPBC29A10.12	3225	300	3
SPBC29A10.15	2474	66	3
SPBC29A3.03c	801	19	4
SPBC29A3.04	72628	2200	1370
SPBC29A3.06	4296	0	184
SPBC29A3.07c	1105	139	27
SPBC29A3.17	574	17	0
SPBC29A3.18	9881	460	37
SPBC29B5.01	2201	34	27
SPBC2A9.03	538	6	32
SPBC2A9.05c	2187	134	35
SPBC2A9.06c	1464	105	5
SPBC2A9.10	1614	50	7
SPBC2A9.12	1096	64	1
SPBC2A9.13	0	0	0
SPBC2A9.14	194	0	25
SPBC2D10.05	1945	70	13
SPBC2D10.13	1011	37	10
SPBC2F12.10	3009	2	0
SPBC2F12.13	2230	59	4
SPBC2F12.14c	35095	1543	184
SPBC2F12.15c	1240	81	10
SPBC2G2.01c	0	0	0
SPBC2G2.05	5462	712	43
SPBC2G2.08	5027	90	24
SPBC2G2.10c	455	27	0
SPBC2G2.16	5924	294	40
SPBC30B4.05	3817	105	3
SPBC30B4.07c	797	76	6
SPBC30D10.02	2398	294	10
SPBC30D10.04	829	91	41
SPBC30D10.16	2293	272	69
SPBC30D10.18c	11899	1083	1604
SPBC30D10.21	438	183	50
SPBC31E1.01c	744	17	3
SPBC31E1.04	2429	141	60
SPBC31E1.05	1671	79	3
SPBC31E1.06	6979	118	0
SPBC31F10.05	4379	5	49
SPBC31F10.08	886	4	120
SPBC31F10.15c	2801	1307	12
SPBC31F10.17c	1890	424	24
SPBC32F12.01c	1337	33	8
SPBC32F12.02	1336	84	3
SPBC32H8.05	4146	1049	28
SPBC336.01	1707	42	3
SPBC336.02	3394	279	4
SPBC336.04	2568	45	1
SPBC336.06c	1966	102	45
SPBC336.09c	2194	81	17
SPBC336.15	1784	61	9
SPBC337.02c	2871	0	307
SPBC337.04	939	46	4
SPBC337.06c	1183	128	4
SPBC337.16	3520	297	5
SPBC354.08c	757	0	5
SPBC354.12	2491	148	40
SPBC36.04	2964	188	20
SPBC36.11	2036	51	7
SPBC365.10	4752	124	11
SPBC365.13c	3206	0	0
SPBC36B7.07	4871	1191	31
SPBC36B7.09	2585	21	1
SPBC3B8.01c	3706	134	39
SPBC3B8.05	2299	126	1
SPBC3B8.06	1801	26	41
SPBC3B8.08	608	98	8
SPBC3B8.10	647	444	13
SPBC3B9.12	669	1382	47
SPBC3B9.15c	2841	37	3
SPBC3B9.17	657	128	15
SPBC3B9.18c	3022	322	34
SPBC3B9.21	657	105	50
SPBC3B9.22c	2974	1749	69
SPBC3D6.04c	1155	32	5
SPBC3D6.06c	6168	339	443
SPBC3D6.10	2192	13	37
SPBC3D6.16	131	0	51
SPBC3E7.13c	953	15	91
SPBC3E7.14	0	0	0
SPBC3E7.15c	4046	383	7
SPBC3F6.03	13393	700	50
SPBC3F6.04c	5539	176	5
SPBC3H7.06c	948	27	7
SPBC3H7.07c	4132	160	4
SPBC3H7.10	2352	73	56
SPBC3H7.11	1835	135	16
SPBC3H7.15	9232	420	82
SPBC4.01	169	0	20
SPBC4.04c	1771	49	19
SPBC4.07c	9190	464	0
SPBC405.01	9602	226	16
SPBC405.07	19900	6581	69
SPBC409.06	4208	326	92
SPBC409.08	3822	0	198
SPBC409.13	3053	447	51
SPBC409.15	5111	748	54
SPBC409.18	0	0	0
SPBC409.19c	1148	6	44
SPBC409.20c	7466	574	31
SPBC409.23	430	159	45
SPBC418.01c	11030	385	19
SPBC428.19c	5426	239	26
SPBC4B4.04	6915	244	17
SPBC4B4.11	1959	151	44
SPBC4C3.06	2456	77	3
SPBC4F6.04	12701	2535	210
SPBC4F6.10	5906	1	116
SPBC4F6.12	786	20	4
SPBC4F6.16c	4358	145	104
SPBC4F6.18c	37024	2258	68
