Intron	Mature	Premature
YMR143W;I1	17	2
YMR194C-B;I1	4	23
YMR194W;I1	7	4
YMR201C;I1	2	2
YMR225C;I1	13	3
YMR230W;I1	51	2
YMR242C;I1	11	1
YMR292W;I1	3	4
YNL004W;I1	3	5
YNL012W;I1	0	24
YNL038W;I1	15	2
YNL044W;I1	42	8
YNL050C;I1	0	1
YNL066W;I1	45	2
YNL069C;I1	6	1
YNL096C;I1	78	1
YNL112W;I1	0	1
YNL130C;I1	45	1
YNL138W-A;I1	0	0
YNL147W;I1	20	5
YNL162W;I1	0	5
YNL246W;I1	3	2
YNL265C;I1	7	1
YNL301C;I1	29	107
YNL302C;I1	13	4
YNL312W;I1	0	3
YNL339C;I1	0	0
YNR053C;I1	0	1
YOL047C;I1	0	50
YOL048C;I1	12	34
YOL120C;I1	153	0
YOL121C;I1	5	3
YOL127W;I1	5	5
YOR096W;I1	102	0
YOR122C;I1	15	22
YOR182C;I1	3	11
YOR234C;I1	10	0
YOR293W;I1	81	3
YOR312C;I1	0	1
YOR318C;I1	0	1
YPL031C;I1	4	3
YPL075W;I1	0	27
YPL079W;I1	4	2
YPL081W;I1	7	5
YPL090C;I1	9	0
YPL109C;I1	9	3
YPL129W;I1	5	1
YPL143W;I1	33	1
YPL175W;I1	1	0
YPL198W;I1	0	2
YPL198W;I2	8	1
YPL218W;I1	73	1
YPL230W;I1	4	3
YPL241C;I1	0	1
YPL249C-A;I1	27	4
YPL283C;I1	0	0
YPR010C-A;I1	56	10
YPR028W;I1	385	4
YPR043W;I1	3	4
YPR063C;I1	27	2
YPR098C;I1	19	14
YPR132W;I1	109	3
YPR153W;I1	0	1
YPR170W-B;I1	169	1
YPR187W;I1	6	0
YPR202W;I1	0	2
