Intron	Mature	Premature
YMR143W;I1	13	5
YMR194C-B;I1	5	19
YMR194W;I1	6	5
YMR201C;I1	11	1
YMR225C;I1	9	5
YMR230W;I1	82	5
YMR242C;I1	13	4
YMR292W;I1	3	2
YNL004W;I1	4	5
YNL012W;I1	0	26
YNL038W;I1	5	5
YNL044W;I1	48	7
YNL050C;I1	1	1
YNL066W;I1	37	2
YNL069C;I1	12	1
YNL096C;I1	111	2
YNL112W;I1	0	2
YNL130C;I1	61	0
YNL138W-A;I1	0	3
YNL147W;I1	22	1
YNL162W;I1	0	7
YNL246W;I1	4	1
YNL265C;I1	6	1
YNL301C;I1	25	105
YNL302C;I1	21	2
YNL312W;I1	0	2
YNL339C;I1	0	0
YNR053C;I1	3	0
YOL047C;I1	0	48
YOL048C;I1	13	32
YOL120C;I1	163	12
YOL121C;I1	9	7
YOL127W;I1	10	11
YOR096W;I1	125	1
YOR122C;I1	21	21
YOR182C;I1	3	4
YOR234C;I1	16	6
YOR293W;I1	84	2
YOR312C;I1	3	0
YOR318C;I1	0	5
YPL031C;I1	7	4
YPL075W;I1	0	18
YPL079W;I1	6	5
YPL081W;I1	2	5
YPL090C;I1	7	2
YPL109C;I1	16	4
YPL129W;I1	2	3
YPL143W;I1	44	0
YPL175W;I1	1	1
YPL198W;I1	0	4
YPL198W;I2	14	1
YPL218W;I1	80	3
YPL230W;I1	6	1
YPL241C;I1	1	3
YPL249C-A;I1	24	1
YPL283C;I1	0	0
YPR010C-A;I1	50	7
YPR028W;I1	391	3
YPR043W;I1	15	1
YPR063C;I1	28	3
YPR098C;I1	23	8
YPR132W;I1	128	3
YPR153W;I1	0	2
YPR170W-B;I1	136	5
YPR187W;I1	1	2
YPR202W;I1	0	2
