Gene	Exonic	Mature	Premature
SPAC22E12.05c	8071	567	24
SPAC22E12.06c	2901	7	7
SPAC22E12.08	2580	225	36
SPAC22E12.10c	9460	107	686
SPAC22E12.18	3899	299	7
SPAC22F3.09c	1514	55	4
SPAC22F3.10c	10572	250	6
SPAC22F3.15	842	479	45
SPAC22F8.09	9738	519	8
SPAC22G7.05	10286	440	61
SPAC22G7.08	1363	235	2
SPAC22H10.05c	7465	371	20
SPAC22H10.07	2039	27	0
SPAC22H10.08	3469	178	2
SPAC22H10.12c	8910	325	20
SPAC23A1.03	16106	3127	169
SPAC23A1.04c	1924	41	20
SPAC23A1.11	56821	10716	9
SPAC23A1.12c	9712	330	14
SPAC23A1.19c	2987	65	43
SPAC23A1.20	1128	0	140
SPAC23C11.13c	11842	1049	38
SPAC23C11.17	7567	366	6
SPAC23C4.04c	516	276	28
SPAC23C4.05c	3084	162	6
SPAC23D3.02	3904	228	13
SPAC23D3.06c	4167	31	1
SPAC23D3.08	0	0	0
SPAC23D3.09	23	0	0
SPAC23G3.01	10726	96	5
SPAC23G3.02c	3145	9	6
SPAC23G3.03	1738	17	5
SPAC23G3.07c	1409	45	18
SPAC23H3.06	6119	601	2
SPAC23H3.08c	1178	79	21
SPAC23H3.13c	1967	51	22
SPAC23H4.02	1529	59	29
SPAC23H4.03c	8794	829	19
SPAC23H4.07c	3687	351	4
SPAC23H4.11c	1319	141	72
SPAC23H4.12	4320	0	8
SPAC23H4.13c	518	132	23
SPAC23H4.17c	837	42	6
SPAC23H4.21	83	0	0
SPAC24B11.12c	4671	22	0
SPAC24C9.02c	4892	482	193
SPAC24C9.06c	32250	668	40
SPAC24C9.08	7030	121	1
SPAC24C9.13c	1285	260	9
SPAC24H6.02c	1250	163	12
SPAC24H6.05	2030	17	2
SPAC24H6.06	2278	60	3
SPAC24H6.07	84743	3799	43
SPAC24H6.09	3775	65	14
SPAC25B8.06c	4195	70	6
SPAC25B8.11	5026	117	7
SPAC25B8.20	1942	62	265
SPAC25G10.03	12618	473	7
SPAC25G10.05c	21693	1159	21
SPAC25G10.06	28757	16176	207
SPAC25H1.03	596	53	20
SPAC26A3.08	6762	766	8
SPAC26A3.11	4051	276	22
SPAC26A3.15c	12723	97	3
SPAC26F1.08c	1866	29	8
SPAC26H5.09c	9581	475	22
SPAC26H5.11	4041	102	16
SPAC26H5.13c	5107	135	15
SPAC27E2.03c	22677	787	62
SPAC27E2.05	2347	157	10
SPAC27E2.12	33	0	24
SPAC27E2.14	670	53	126
SPAC27F1.02c	22809	1833	27
SPAC29A4.02c	76462	3769	134
SPAC29A4.03c	5758	1	515
SPAC29A4.06c	2042	138	11
SPAC29A4.17c	734	33	8
SPAC29A4.20	4155	199	13
SPAC29B12.08	5678	76	33
SPAC29E6.04	0	0	0
SPAC29E6.05c	2146	130	226
SPAC2C4.05	14313	1333	20
SPAC2C4.11c	7259	864	9
SPAC2E12.02	6153	136	1
SPAC2F3.04c	3905	426	18
SPAC2F3.06c	7983	143	1
SPAC2F3.11	8013	525	425
SPAC2F7.15	4181	403	49
SPAC2G11.02	3954	77	3
SPAC2G11.08c	910	98	4
SPAC2G11.09	2376	43	16
SPAC2H10.02c	1719	198	87
SPAC30.02c	3627	203	19
SPAC30D11.02c	42	0	0
SPAC30D11.04c	5337	76	1
SPAC30D11.08c	3723	128	15
SPAC31A2.03	5444	578	3
SPAC31A2.07c	6890	120	10
SPAC31A2.13c	1145	201	5
SPAC31A2.14	3975	28	10
SPAC31G5.01	4526	201	7
SPAC31G5.05c	13991	844	76
SPAC31G5.06	185	10	23
SPAC31G5.16c	10109	998	16
SPAC31G5.17c	43889	5735	64
SPAC31G5.19	2973	14	11
SPAC323.01c	2347	71	43
SPAC323.07c	4902	187	14
SPAC328.01c	4427	25	2
SPAC328.06	4784	210	16
SPAC328.07c	2822	119	1
SPAC328.09	3849	165	84
SPAC328.10c	57900	7466	206
SPAC32A11.04c	39120	4124	13
SPAC343.01c	51	0	0
SPAC343.17c	21924	39	5
SPAC343.18	1741	140	24
SPAC3A11.02	4355	95	17
SPAC3A11.09	3545	40	10
SPAC3A11.12c	8103	262	10
SPAC3A12.13c	10896	622	18
SPAC3A12.14	12828	1220	37
SPAC3A12.16c	8306	705	26
SPAC3A12.18	12502	333	9
SPAC3A12.19	520	70	19
SPAC3C7.03c	633	21	41
SPAC3C7.11c	26019	2	2
SPAC3F10.04	8509	15	205
SPAC3F10.06c	397	39	36
SPAC3F10.10c	4328	539	5
SPAC3F10.16c	10188	242	10
SPAC3F10.17	6282	192	18
SPAC3F10.18c	7373	15196	137
SPAC3G6.13c	30273	29812	117
SPAC3G9.03	57945	14318	86
SPAC3G9.04	1212	165	24
SPAC3G9.16c	1012	112	14
SPAC3H1.01c	3757	90	5
SPAC3H1.04c	3876	110	117
SPAC3H1.05	10504	612	33
SPAC3H1.08c	1835	172	30
SPAC3H5.06c	2264	27	4
SPAC3H5.07	49277	8416	55
SPAC3H8.03	2497	417	26
SPAC4A8.02c	2526	77	4
SPAC4A8.09c	3281	145	100
SPAC4A8.12c	3208	158	117
SPAC4A8.14	7680	310	14
SPAC4D7.01c	2752	15	1
SPAC4D7.02c	1765	71	36
SPAC4D7.06c	4639	300	293
SPAC4D7.08c	22991	491	37
SPAC4D7.12c	4297	398	23
SPAC4D7.14	1573	212	235
SPAC4F10.02	3819	88	56
SPAC4F10.03c	3368	229	10
SPAC4F10.04	2466	97	20
SPAC4F10.13c	7273	77	4
SPAC4F10.14c	70113	17411	245
SPAC4F10.16c	3143	56	31
SPAC4F10.19c	1237	126	13
SPAC4F8.03	7351	501	22
SPAC4G8.04	2412	62	4
SPAC4G9.04c	21948	51	4
SPAC4G9.12	5	0	0
SPAC4G9.13c	1917	156	25
SPAC4G9.17c	3581	241	10
